"Email ID","Email Subject","Spam"
"noreply@shopcroma.com","Celebrate with Croma!","1"
"support@droptrack.com","Planned Maintenance Notice: June 26, 2021","1"
"noreply@kaggle.com","Competition Launch: G2Net Gravitational Wave Detection","0"
"dontreply@show.co","We need your feedback!","1"
"noreply@shopcroma.com","For The Fearless Gamer!","1"
"noreply@hackerearth.com","Are you ready to test your skills?","0"
"support@beatacademy.com","Price doubles tonight","0"
"no-reply@m.mail.coursera.org","Top picks just for you","0"
"john@emails.promoteurmusic.com","Price Drop! Soundcloud promo package for $29","1"
"info@dharmaworldwide.com","Mix to Master, NFTs + Win Album Stems","1"
"no-reply@pesuacademy.com","IFSCR Center Inernship 2021 for AI/ML in cybersecurity","0"
"hey.at.listn.live@disco-mailer.net","Looking for Music Promotion? Submit to Listn NOW!","1"
"swhalen@songwrittingcompetition.com","Attn: - ISC Announces 2021 Judges","1"
"jmorgan@unsignedonly.com","Attn: -- Three Days Left To Enter Unsigned Only","1"
"do_not_reply@mail.oculus.com","Your 30% discount is about to expire","0"
"noreply@kaggle.com","[Product Update] Bookmarks are here!","0"
"hello@devfolio.co","$25,000+ in prizes up for grabs at ETHOdyssey Metaverse","0"
"no-reply@growth.ibm.com","IBM Spectrum LSF is Now Generally Available on IBM Cloud","0"
"mgc44751@yqtcp15jo1vcou.w3ed2-64ac.gravuln.buzz","	Ready to bundle up with GEICO savings this summer?","1"
"5UerS7zJl@exclusive-irghh72ngn-gifts.net.us","Confirmation needed. package","1"
"info@unity3d.com","July Learning Unity Webinar Schedule","0"
"alerts@info.swiggy.in","How 500+ warriors helped India heal!","0"
"sdc44742@lmcodh6g91rumn.w76b-4ec1.veryvitz.buzz","𝐔𝐩 𝐭𝐨 𝟓𝟎% 𝐨𝐟𝐟 - 𝐬𝐭𝐫𝐚𝐢𝐠𝐡𝐭𝐞𝐧 𝐲𝐨𝐮𝐫 𝐭𝐞𝐞𝐭𝐡 𝐟𝐫𝐨𝐦 𝐡𝐨𝐦𝐞","1"
"mgc44726@j0cojelnt10q5v.w647-b7e3.dontusia.buzz","Summer Time Savings: Get started with GEICO.","1"
"noreply@mails.commonfloor.com","Find quality tenants and earn more from your property","1"
"no-reply@m.mail.coursera.org","Still open: Data Science with John Hopkins University","0"
"offers@rrjiomart.com","7 MAX SAVING DAYS - Steal Deals! Hurry Shop Now @ JioMart","1"
"customercare@porticoindia.com","Our treat for healthy sleep!","0"
"latapasupulety@pes.edu","CS test issues","0"
"offers@rrjiomart.com","Enjoy Biggest Savings on Monthly Grocery - UP TO 50% OFF!!! @ JioMart","1"
"noreply@shopcroma.com","Celebrate with Croma!","1"
"hello@devfolio.co","TIF is back with $2000 in stipen!","0"
"no-reply@m.mail.coursera.org","IBM Newsletter","0"
"offers@rrjiomart.com","Wednesday Bonus is LIVE! Lowest prices only for Today @ JioMart","1"
"hello@nobrokerletters.com","Dear rishabh, is your BHK3 available for rent?","1"
"info@unity3d.com","Advance your skills in Unity","0"
"noreply@mails.commonfloor.com","With Lockdown Restrictions Easing | 2 Lakhs+ New Customers Are Searching For A Home","1"
"ownersclub@nobrokermail.in","Rishabh, You're invited to join the Owner's CLUB","1"
"store@cymatics.support","Order #1765179 confirmed","0"
"alerts@info.swiggy.in","Got a to-do list? Get a Genie","1"
"offers@rrjiomart.com","WOW WEEKEND!!! Up to 50% Off Only for the Weekend @ JioMart","1"
"latapasupulety@pes.edu","Malpractice in ISA1","0"
"offers@rrvisexprs.com","FLAT 60% OFF on Computer Glasses from Vision Express","1"
"noreply@shopcroma.com","For The Fearless Gamer!","1"
"news@sub.sarvgyan.com","Applications Closing in 4 Days @ UPES Dehradun , Apply Now","1"
"info@mulugu.com","Book Online: Shanieswara Jayanthi : Special Abhishekam and Vratham","1"
"no-reply@sampark.gov.in","Highlights of Mann Ki Baat May 2021","1"
"no-reply@pesuacademy.com","DAC Scholarship","0"
"offers@magicbricks.com","Advertise your property till it gets rented out. How? Find out here","1"
"noreply@shopcroma.com","Unbeatable offers on the latest","1"
"yocketmailers@gmail.com","MS-Finance: For a glorious career ahead!","1"
"daniel.borowski@coderbyte.com","Latest coding tutorials: Practice Google & Facebook interviews","1"
"noreply@phonepe.com","Win ₹9,999 while you stay at home","1"
"mailers@marketing.goindigo.in ","Grab flat 20% cashback + 5% 6E Rewards!","1"
"noreply@phonepe.com","Fashion, Food, Games & more in one place!","1"
"noreply@us-education.alison.com","Become the EXPERT you are meant to be! ➞ 15 Courses to Uplift Your Expertise","0"
"start@engage.canva.com","India - Top 10 Comic Strip templates","1"
"info@spacebasic.com","Your SpaceBasic login OTP","0"
"notebook@redeemnow.in","HOIZ356188HO","0"
"labsupport.msr@sparshhospital.com","Lab report","0"
"no-reply@pesuacademy.com","VC's Bulletin #28, June 28, 2021","0"
"nagaraj@pes.edu","0",""
"no-reply@pesuacademy.com","RR Campus Boys Hostel Circular - 2","0"
"no-reply@t.mail.coursera.org","Data Analysis with Python","0"
"chitragm@pes.edu","Student innovation grant program","0"
"rahulhraj7b@gmail.com","Vaccine Certificate","0"
"rhr7019@gmail.com","Permission to take leave","0"
"rahulhraj7b@gmail.com","Assignment deadline extended","0"
"no-reply@e.udemymail.com","Free Udemy Courses | Valid Until 4th July","0"
"no-reply@growth.ibm.com","IBM Spectrum LSF is Now Generally Available on IBM Cloud","0"
"ict@iitk.ac.in","Confirmation about access to the course","0"
"rhr7019@gmail.com","Announcements regarding quiz","0"
"rhr7019@gmail.com","Week 8 content release","0"
"radhika.sharma@careers360.com","Careers360 : Counselling Session with Experts","0"
"anuradha@pes.edu","Fwd: Link: Invitation to participate in the webinar- the 19th talk in the faculty colloquium series - Wednesday, 30 June, 2021","0"
"support@onlinedegree.iitm.ac.in","Important: Announcement ","0"
"supreethas@pes.edu","CS Solution ISA - 1","0"
"mswwprog@microsoft.com","Your Microsoft certification exam options","0"
"hello@devfolio.co","TIF is back with $2000 in stipend! ","0"
"noreply@updates.freelancer.com","Earn money as a local hero in 3 easy steps","0"
"pesubhmanager@pes.edu","Reply to Circular1","0"
"pesubhwarden@pes.edu","Hostel fee payment details","0"
"latapasupulety@pes.edu","Not receiving all the mails","0"
"radhika.sharma@careers360.com","Bank details for stipend","0"
"chitragm@pes.edu","CDSAML -2021 summer internship Results","0"
"security-noreply@linkedin.com","your password was successfully reset","0"
"admin@credly.com","Reset password instructions","0"
"no-reply@growth.ibm.com","Welcome to Watson Studio! Let's get started!","0"
"no-reply@e.udemymail.com","Udemy Free Courses | Valid Until 5th June | EdYoda","0"
"preetkanwal@pes.edu","Selection process for AI/ML","0"
"librarian@pes.edu","Welcome to Library","0"
"alexiscook@google.com","You’re officially a Kaggler. Now what?","0"
"MicrosoftOfficeCertifications@certiport.com","Congratulations on taking your first step to become Microsoft certified!","0"
"latapasupulety@pes.edu","CIE Special Topic courses for the Aug-Dec 2021 semester","0"
"student@internshala.com","Rishabh, represent us in PES College!","0"
"notice@flexjobs.com","We found Remote and Flexible Jobs hiring now","0"
"forms-receipts-noreply@google.com","Day 7 PADL","0"
"rahulhraj7b@gmail.com","Your assignment is due tomorrow!","0"
"admin@coderbyte.com","Welcome to Coderbyte","0"
